Id	DeviceToolId	HandedToStaffId	HandedDate	DeptId	LocationId	StatusId	StatusDescrition	
	48328		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48328,'2019-12-12 13:53:33',525,2)"
	48329		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48329,'2019-12-12 13:53:33',525,2)"
	48330		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48330,'2019-12-12 13:53:33',525,2)"
	48331		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48331,'2019-12-12 13:53:33',525,2)"
	48332		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48332,'2019-12-12 13:53:33',525,2)"
	48333		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48333,'2019-12-12 13:53:33',525,2)"
	48334		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48334,'2019-12-12 13:53:33',525,2)"
	48335		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48335,'2019-12-12 13:53:33',525,2)"
	48336		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48336,'2019-12-12 13:53:33',525,2)"
	48337		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48337,'2019-12-12 13:53:33',525,2)"
	48338		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48338,'2019-12-12 13:53:33',525,2)"
	48339		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48339,'2019-12-12 13:53:33',525,2)"
	48340		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48340,'2019-12-12 13:53:33',525,2)"
	48341		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48341,'2019-12-12 13:53:33',525,2)"
	48342		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48342,'2019-12-12 13:53:33',525,2)"
	48343		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48343,'2019-12-12 13:53:33',525,2)"
	48344		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48344,'2019-12-12 13:53:33',525,2)"
